date,World price index,NZ$ price index,Meat/skins/wool-WP,Meat/skins/wool-NZ$,Dairy products-WP,Dairy products-NZ$,Horticultural products-WP,Horticultural products-NZ$,Forest products-WP,Forest products-NZ$,Seafood-WP,Seafood-NZ$,Aluminium-WP,Aluminium-NZ$
1986-01-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1986-02-27,97.5,101.4,97.5,102.2,102.3,105.9,100.0,100.0,99.5,103.8,63.0,65.2,104.7,108.4
1986-03-30,100.4,101.9,102.9,105.3,108.8,109.5,100.0,100.0,93.0,94.2,44.4,44.7,104.3,104.9
1986-04-29,109.3,102.3,107.8,101.8,114.3,104.8,100.0,100.0,94.1,87.5,131.9,120.9,104.3,95.7
1986-05-30,107.6,102.5,104.5,99.8,123.7,116.4,100.0,100.0,100.2,95.2,83.8,78.8,106.2,99.8
1986-06-29,107.9,108.4,108.2,110.0,122.0,120.7,100.0,100.0,95.9,96.2,73.7,72.9,100.6,99.5
1986-07-30,107.5,112.3,109.7,115.8,120.2,124.4,100.0,100.0,97.7,103.0,57.7,59.8,101.2,104.8
1986-08-30,108.8,118.7,109.0,120.4,118.4,128.7,100.0,100.0,122.7,135.3,62.2,67.7,108.1,117.6
1986-09-29,108.6,118.5,109.0,120.0,119.8,130.7,100.0,100.0,116.8,129.5,63.8,69.6,104.2,113.7
1986-10-30,112.7,118.5,113.5,119.5,122.2,129.0,100.64,100.7,114.2,122.0,90.5,95.6,101.4,107.0
1986-11-29,113.6,117.8,115.2,119.9,120.4,124.7,100.64,100.7,112.8,118.1,99.4,102.9,101.4,105.0
1986-12-30,116.7,120.1,116.4,120.7,125.9,128.9,100.64,100.7,104.9,108.9,122.3,125.2,105.0,107.5
1987-01-30,117.6,117.6,119.9,121.1,125.6,123.8,100.64,100.7,112.2,112.4,90.0,88.7,115.0,113.4
1987-02-27,119.1,116.2,125.6,123.7,128.6,123.5,100.64,100.7,109.4,106.6,57.6,55.3,122.7,117.8
1987-03-30,124.7,121.0,127.5,125.3,127.7,121.1,100.64,100.7,114.6,110.7,117.0,110.9,125.5,118.9
1987-04-29,118.4,112.4,127.5,123.0,126.8,116.9,70.73,70.2,125.2,118.3,57.6,53.1,126.5,116.6
1987-05-30,118.9,113.2,128.2,123.8,124.4,115.5,70.73,70.2,129.0,122.4,58.6,54.4,132.0,122.5
1987-06-29,122.8,114.2,127.5,119.9,124.8,113.2,70.73,70.2,127.1,117.5,101.4,92.0,148.2,134.4
1987-07-30,122.9,118.9,127.3,124.7,122.9,116.5,70.73,70.2,118.4,114.2,102.1,96.8,162.3,153.8
1987-08-30,122.9,111.9,125.6,115.7,117.0,103.7,70.73,70.2,127.4,115.6,130.4,115.6,156.6,138.8
1987-09-29,123.9,105.7,131.6,113.2,117.8,97.5,70.73,70.2,115.3,97.5,92.4,76.5,175.9,145.7
