date,CPI % year on year,Tradable inflation % pa,Non-tradable inflation % pa, Food prices % pa
1995-03-30,4.0,0.706,4.435,
1995-06-29,4.58,1.263,4.096,
1995-09-29,3.54,0.322,3.778,
1995-12-30,2.92,-0.086,3.828,
1996-03-30,2.21,-0.453,4.481,
1996-06-29,2.0,-0.633,4.908,
1996-09-29,2.38,-0.059,4.416,
1996-12-30,2.55,0.09,4.423,
1997-03-30,1.79,-0.041,3.665,
1997-06-29,1.12,-0.649,3.271,
1997-09-29,1.02,-0.585,3.712,
1997-12-30,0.83,-0.738,3.603,
1998-03-30,1.29,-0.185,3.16,
1998-06-29,1.66,0.056,3.019,
1998-09-29,1.75,0.606,2.498,
1998-12-30,0.37,0.583,1.449,
1999-03-30,-0.09,0.681,1.31,
1999-06-29,-0.36,0.627,1.624,
1999-09-29,-0.51,0.163,1.648,
1999-12-30,0.51,0.453,1.969,
2000-03-30,1.49,0.891,2.48,
2000-06-29,2.0,1.6,2.3,
2000-09-29,2.99,3.2,2.88,
2000-12-30,3.98,4.582,3.472,
2001-03-30,3.06,3.865,2.559,4.781
2001-06-29,3.24,4.724,2.151,6.0
2001-09-29,2.42,3.585,1.544,6.621
2001-12-30,1.82,2.095,1.534,6.725
2002-03-30,2.59,2.099,2.879,5.323
2002-06-29,2.75,2.162,3.158,4.057
2002-09-29,2.64,1.403,3.517,2.317
2002-12-30,2.72,1.586,3.777,0.913
2003-03-30,2.52,1.495,3.358,-0.181
2003-06-29,1.48,-1.104,3.618,0.0
2003-09-29,1.47,-1.476,3.765,0.272
2003-12-30,1.55,-2.02,4.186,0.181
2004-03-30,1.55,-2.302,4.513,0.452
2004-06-29,2.37,-0.651,4.655,1.088
2004-09-29,2.54,0.0,4.513,0.542
2004-12-30,2.7,0.75,4.28,1.174
2005-03-30,2.78,0.848,4.231,1.53
2005-06-29,2.85,0.749,4.363,1.076
2005-09-29,3.36,1.873,4.403,1.617
2005-12-30,3.16,1.674,4.271,1.518
2006-03-30,3.32,2.056,4.143,1.773
2006-06-29,3.98,3.81,4.098,2.218
2006-09-29,3.54,2.973,4.031,3.894
2006-12-30,2.63,1.174,3.844,3.852
2007-03-30,2.54,0.857,4.065,3.961
2007-06-29,2.0,-0.5,4.1,4.1
2007-09-29,1.79,-0.299,3.663,3.333
2007-12-30,3.18,2.828,3.536,4.39
2008-03-30,3.37,3.448,3.495,5.116
2008-06-29,4.02,4.824,3.362,6.916
2008-09-29,5.07,6.3,4.107,9.488
2008-12-30,3.38,2.259,4.269,9.439
2009-03-30,2.97,1.667,3.846,8.815
2009-06-29,1.89,0.192,3.346,7.457
2009-09-29,1.67,-0.094,3.028,5.373
2009-12-30,1.96,1.537,2.275,1.366
2010-03-30,2.05,2.025,2.078,1.181
2010-06-29,1.67,0.957,2.248,-0.669
2010-09-29,1.46,0.283,2.493,0.082
2010-12-30,4.03,3.311,4.626,4.634
2011-03-30,4.47,3.686,5.221,4.837
2011-06-29,5.28,5.498,5.189,6.987
2011-09-29,4.59,4.601,4.518,6.163
2011-12-30,1.85,1.099,2.466,1.691
2012-03-30,1.57,0.274,2.523,0.636
2012-06-29,0.95,-1.078,2.425,-0.393
2012-09-29,0.77,-1.167,2.328,-0.929
2012-12-30,0.95,-0.996,2.49,-0.475
2013-03-30,0.86,-1.091,2.379,0.079
2013-06-29,0.68,-1.635,2.531,0.158
2013-09-29,1.37,-0.454,2.762,0.781
2013-12-30,1.63,-0.275,2.915,1.273
2014-03-30,1.53,-0.552,2.965,0.79
2014-06-29,1.62,0.092,2.707,1.577
2014-09-29,1.01,-1.004,2.53,-0.155
2014-12-30,0.76,-1.284,2.36,0.471
2015-03-30,0.25,-2.403,2.413,1.176
2015-06-29,0.42,-1.753,2.093,0.155
2015-09-29,0.42,-1.198,1.542,0.776
2015-12-30,0.08,-2.138,1.768,-0.626
2016-03-30,0.42,-1.231,1.596,-0.387
2016-06-29,0.42,-1.502,1.822,0.0
2016-09-29,0.42,-2.146,2.354,-0.231
2016-12-30,1.34,-0.095,2.417,0.629
2017-03-30,2.17,1.63,2.468,1.633
2017-06-29,1.74,0.858,2.386,2.016
2017-09-29,1.9,1.06,2.568,2.78
2017-12-30,1.59,0.47,2.469,2.276
2018-03-30,1.1,-0.289,2.324,0.588
2018-06-29,1.5,0.3,2.4,0.7
2018-09-29,1.9,0.998,2.483,0.158
2018-12-30,1.89,0.901,2.668,0.604
2019-03-30,1.48,-0.4,2.84,1.301
2019-06-29,1.67,0.1,2.832,1.092
2019-09-29,1.46,-0.692,3.198,1.777
2019-12-30,1.85,0.099,3.08,2.5
2020-03-30,2.53,1.508,3.429,3.261
2020-06-29,1.45,-0.598,3.134,3.733
2020-09-29,1.44,-0.1,2.629,3.686
2020-12-30,1.44,-0.297,2.801,2.537
2021-03-30,1.52,0.495,2.118,1.148
2021-06-29,3.34,3.407,3.315,1.61
2021-09-29,4.93,5.677,4.483,3.087
2021-12-30,5.95,6.859,5.268,4.091
2022-03-30,6.93,8.473,6.042,6.717
2022-06-29,7.3,8.721,6.328,6.524
2022-09-29,7.23,8.106,6.567,7.985
2022-12-30,7.22,8.186,6.557,10.695
2023-03-30,6.65,6.358,6.803,11.348
2023-06-29,6.03,5.169,6.622,12.336
2023-09-29,5.64,4.708,6.327,8.824
2023-12-30,4.66,3.009,5.911,5.698
