date,NZ total,Northland,Auckland,Waikato,Bay of Plenty,Gisborne,Hawke's Bay,Manawatu,Taranaki,Wellington,Tasman,Nelson,Marlborough,West Coast,Canterbury,Otago,Southland
1992-01-30,105000,90000,135000,100000,105000,79000,85000,91000,80000,123000,113000,115000,94000,70000,102000,81500,64000
1992-02-28,110000,95000,142000,105000,105000,75000,89000,90000,80000,122000,105000,108000,104000,55000,105000,87500,62500
1992-03-30,110000,88000,135000,103000,95000,83000,90000,92000,83000,125000,94000,115000,96000,63500,105000,87000,63000
1992-04-29,110000,93000,135000,105000,103000,79000,82000,90000,85000,129000,105000,116000,96000,64000,102000,86000,69000
1992-05-30,110000,88000,135000,105000,100000,85000,91000,90000,79000,128000,111000,115000,97500,73000,105000,83500,64900
1992-06-29,108000,88000,137000,100000,95000,73500,88000,95000,82000,130000,110000,107000,94000,70000,105000,88000,60000
1992-07-30,110000,88000,138000,104000,106000,75000,85000,87500,85000,124000,112000,118000,103000,72000,105000,86000,65000
1992-08-30,110000,92500,136000,100000,105000,85500,93000,90000,85000,128000,109500,116000,95000,66000,104500,90000,66000
1992-09-29,110000,88000,140000,105000,95000,78000,92500,94000,89000,127000,117000,120000,108000,66500,104000,90000,64000
1992-10-30,111000,84500,137500,100000,107500,82500,94000,89000,87000,130000,119000,115000,102000,58000,111000,89500,65000
1992-11-29,110000,88000,140500,105000,108000,84000,94000,95000,86000,132000,120000,122500,92500,52000,106000,85500,71000
1992-12-30,113000,106000,145000,108000,105000,84000,92000,99000,87000,130000,105500,124000,105000,67000,111000,89000,60000
1993-01-30,112000,105000,140000,108000,110000,88000,96000,88000,90000,120000,119000,120000,106500,60000,108000,92000,68000
1993-02-27,114000,95000,140000,102000,108000,85000,95000,95000,90000,128000,115000,125000,97000,66500,109000,89000,66500
1993-03-30,113000,91000,139000,110000,107750,82000,95500,92000,90000,127500,105000,126000,112000,71500,109500,87000,67000
1993-04-29,115000,95000,147000,108000,100000,87500,96000,92000,87000,125000,118000,137500,106000,70000,110000,93000,66000
1993-05-30,112000,100000,142000,102000,103500,85000,105000,90500,90000,123500,128000,121000,101000,67000,108000,87500,67000
1993-06-29,115000,89000,143000,105000,101000,78000,105000,98000,85500,127000,126000,120000,100000,68500,113000,90000,61000
1993-07-30,115000,90000,140000,103000,109500,85000,105000,95250,94000,128500,123500,125000,105000,72000,107000,91000,63800
1993-08-30,116000,89000,144500,106000,110000,93000,109000,90000,90000,125000,119000,120000,108000,67000,110000,97000,66000
1993-09-29,118000,103000,145000,105000,112000,100000,108000,92000,91500,126000,120000,128000,109000,63000,113000,96000,64000
1993-10-30,119740,92000,148000,105000,113000,99500,109000,90000,92000,127000,114000,134000,111000,70000,115000,95000,66000
1993-11-29,122000,95000,150000,107000,118500,90500,110000,97000,90000,134000,126000,122000,112000,79000,116000,95000,66000
1993-12-30,121000,97000,160000,110000,112000,85000,110000,95000,94000,130100,135000,128000,114000,73000,114000,93000,64500
1994-01-30,123000,98000,154000,115000,119000,92000,110000,95000,96000,127000,125000,126000,110000,78000,116000,95000,78000
1994-02-27,125000,100000,155000,110000,115000,103000,115000,105000,92000,135000,125000,125000,120000,71000,118000,96000,69000
1994-03-30,126000,104500,159000,114500,115500,100000,118000,97000,95000,130000,120000,135000,112000,70000,116500,94000,65000
1994-04-29,127000,105000,162000,115000,119000,110000,118000,103000,90000,133000,125000,130800,119000,78000,120000,98000,71000
1994-05-30,127000,109000,165000,115000,120000,97000,113000,95000,92000,130000,118000,132000,115000,75000,124000,102000,71500
1994-06-29,129000,97000,170000,117000,125000,108000,109000,99000,100000,127500,130000,130000,118000,69000,118000,105000,74000
1994-07-30,129000,95000,172000,115000,120000,103000,117400,98000,88000,130000,129500,129500,118000,68000,122500,96000,78000
1994-08-30,131000,105000,177000,117000,123000,115000,112000,103000,99000,135000,130500,133000,120000,79000,120500,105000,70000
1994-09-29,132000,98000,172000,118000,125000,105000,121000,97500,99500,134000,138000,133500,120000,75000,125000,109000,75000
1994-10-30,134000,109000,179000,119500,124000,112000,115500,102000,100000,137000,132500,146000,135000,72500,125000,105000,71000
1994-11-29,135000,108000,180000,120000,125000,130000,118000,105000,92000,139000,134000,141000,124000,92000,128000,103000,76000
1994-12-30,133000,110000,180000,120000,127000,129000,125000,109000,106000,140000,149000,137500,118000,76000,125000,102000,72000
1995-01-30,130000,105000,174000,125000,130000,126000,115000,103000,96000,130000,118000,144000,115000,76000,123000,105000,72500
1995-02-27,135000,110000,180000,119000,127500,96000,112500,99000,97000,137000,140000,135000,125000,73000,125000,97000,76000
1995-03-30,135000,100000,179000,125000,125000,107000,115000,96000,100000,136000,125000,133500,127500,68000,126000,109800,70000
1995-04-29,135800,105000,180000,123000,133000,95000,116000,105300,95000,140000,138000,135000,126000,90000,126000,106500,69000
1995-05-30,137000,108000,180000,122500,131000,115000,110500,110000,95000,138000,128000,140000,134000,84500,128000,95000,76000
1995-06-29,137000,125000,180000,119000,125000,106500,118000,95000,97000,130000,122000,135000,116000,85000,126000,98000,77000
1995-07-30,138000,105000,185000,123000,135000,121000,110500,98000,95000,135000,128000,140000,122000,70000,124500,99000,77000
1995-08-30,140000,106000,192950,120100,127750,105000,120000,103000,95000,130500,135000,145000,115000,85000,126000,102000,70000
1995-09-29,141000,112000,194000,125000,137000,116000,117000,95000,97500,137000,139000,132500,113000,76000,129000,109000,71000
1995-10-30,144000,113000,198000,125000,130000,115000,118000,99000,92000,140000,123000,134000,123500,75000,130000,95000,74000
1995-11-29,145000,110000,205000,128000,130000,110000,117000,104000,93000,142500,126000,137000,117000,77000,128000,103000,70000
1995-12-30,140000,100000,210000,120000,135000,118500,122500,95000,113000,150000,128000,125500,130000,65000,123500,106500,74500
1996-01-30,146000,112000,204500,133000,136888,115000,124000,102000,98000,138000,132000,135000,137500,69000,130000,105000,73000
1996-02-28,153500,112300,222000,133000,135000,112500,127000,99000,100000,140000,133000,135000,130000,82500,134500,107000,70000
1996-03-30,155000,117500,230000,132000,131000,110000,120000,101500,95000,144000,133000,133000,119000,97000,133000,108000,73000
1996-04-29,149000,113000,230000,129000,135000,105000,125000,100000,104000,142000,130000,135000,133000,72500,130000,108000,72500
1996-05-30,148000,117000,230000,134000,135000,121500,120000,95600,95000,139000,135750,147000,130000,79000,134000,103000,72000
1996-06-29,145000,115000,225000,130000,133670,116000,115000,103000,95000,136000,146000,143000,124500,87500,135500,103000,70000
1996-07-30,147000,117500,224000,135000,136000,123000,120000,97500,97000,139000,128500,135000,127500,90000,130000,106000,71000
1996-08-30,147000,112000,225000,131000,140000,110000,122000,105500,107000,133000,140000,135000,125000,75000,132000,102000,76000
1996-09-29,153000,120000,222000,135000,142000,107000,123000,98000,95000,138000,145000,128000,134000,65000,134000,100000,74000
1996-10-30,155000,124000,225000,136000,148000,110000,122000,93500,96000,144000,135000,143500,128500,73000,133000,109000,70000
