date,Floating %,90 day bank bill rate,6 months %,1 year %,2 years %,3 years %,4 years %,5 years %
2002-07-04,7.614,5.99,7.13,7.426,7.819,7.91,8.08,8.16
2002-07-11,7.745,6.03,7.11,7.413,7.804,7.91,8.07,8.12
2002-07-18,7.79,6.01,7.12,7.335,7.599,7.8,7.91,7.95
2002-07-25,7.813,5.96,7.12,7.345,7.569,7.78,7.89,7.94
2002-08-01,7.813,5.89,7.11,7.331,7.559,7.74,7.86,7.93
2002-08-08,7.799,5.86,7.09,7.304,7.524,7.7,7.81,7.87
2002-08-15,7.758,5.87,6.96,7.213,7.424,7.59,7.66,7.76
2002-08-22,7.705,5.89,6.92,7.176,7.364,7.52,7.64,7.7
2002-08-29,7.705,5.87,6.92,7.154,7.354,7.51,7.64,7.7
2002-09-05,7.705,5.85,6.92,7.154,7.354,7.51,7.64,7.7
2002-09-12,7.705,5.87,6.92,7.13,7.354,7.51,7.64,7.7
2002-09-19,7.677,5.85,6.92,7.112,7.323,7.51,7.64,7.7
2002-09-26,7.677,5.87,6.91,6.981,7.283,7.48,7.61,7.67
2002-10-03,7.677,5.86,6.9,6.941,7.263,7.44,7.56,7.62
2002-10-10,7.677,5.86,6.89,6.932,7.154,7.31,7.38,7.5
2002-10-17,7.677,5.9,6.79,6.927,7.114,7.24,7.37,7.38
2002-10-24,7.677,5.89,6.79,6.873,7.069,7.26,7.41,7.47
2002-10-31,7.677,5.91,6.79,6.868,7.059,7.24,7.41,7.47
2002-11-07,7.677,5.89,6.79,6.895,6.97,7.22,7.38,7.5
2002-11-14,7.677,5.88,6.79,6.895,6.94,7.21,7.38,7.49
2002-11-21,7.677,5.9,6.78,6.886,6.92,7.2,7.38,7.49
2002-11-28,7.677,5.92,6.88,6.886,6.95,7.21,7.4,7.51
2002-12-05,7.677,5.92,6.88,6.886,6.95,7.23,7.42,7.53
2002-12-12,7.677,5.93,6.88,6.895,6.985,7.26,7.43,7.57
2002-12-19,7.677,5.92,6.88,6.886,7.039,7.27,7.45,7.58
2002-12-26,7.677,5.93,6.88,6.868,7.099,7.28,7.46,7.59
2003-01-02,7.677,5.92,6.88,6.868,7.099,7.28,7.46,7.59
2003-01-09,7.677,5.91,6.88,6.868,7.119,7.28,7.46,7.59
2003-01-16,7.677,5.85,6.88,6.859,7.119,7.28,7.46,7.59
2003-01-23,7.677,5.81,6.78,6.832,7.119,7.28,7.46,7.59
2003-01-30,7.677,5.84,6.78,6.809,7.109,7.27,7.46,7.57
2003-02-06,7.677,5.82,6.77,6.773,7.009,7.2,7.36,7.45
2003-02-13,7.677,5.84,6.72,6.727,6.859,6.99,7.12,7.27
2003-02-20,7.677,5.83,6.63,6.727,6.859,6.93,7.08,7.25
2003-02-27,7.677,5.77,6.63,6.705,6.849,6.91,7.08,7.25
2003-03-06,7.677,5.78,6.72,6.705,6.849,6.91,7.05,7.16
2003-03-13,7.677,5.84,6.8,6.664,6.824,6.89,6.95,7.0
2003-03-20,7.677,5.84,6.8,6.664,6.824,6.89,6.96,6.99
2003-03-27,7.677,5.84,6.8,6.664,6.834,6.92,7.0,7.07
2003-04-03,7.677,5.8,6.8,6.664,6.834,6.93,7.05,7.11
2003-04-10,7.677,5.77,6.8,6.645,6.834,6.94,7.09,7.16
2003-04-17,7.677,5.77,6.8,6.627,6.824,6.92,7.09,7.15
2003-04-24,7.608,5.52,6.73,6.609,6.794,6.9,7.11,7.16
2003-05-01,7.508,5.48,6.52,6.486,6.655,6.79,6.99,7.07
